time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
1980-12-31,6332.9,8692.3,4280.4,6501.5,6089.3,41737.4,2918.9,771.7,20811.6,9155.8,60784.1,34010.4,4184.8,1631.4,3746.0,2879.5,24525.2,912.7,540.4,624.2,436.3,1190.8,9701.8,18040.6,13413.4,4335.1,4826.2,5217.2,16038.5,1235.9,2888.4
1981-12-31,6249.7,8254.2,4493.9,6306.9,5918.3,41544.8,2772.1,710.8,23343.5,9310.2,55609.9,31229.0,4373.9,1647.8,3779.8,2628.9,24540.1,879.5,525.6,582.5,426.4,1188.3,9546.9,15805.9,13096.0,5003.7,4783.2,5174.0,14821.5,1258.1,2853.2
1982-12-31,6109.6,8184.9,4097.9,6096.5,5940.6,41326.2,2983.4,790.6,22341.4,10956.2,52006.1,33104.4,3768.7,1415.0,3678.6,2836.6,23564.5,898.5,525.9,604.9,364.2,1080.0,9613.1,17231.5,13028.3,4654.6,4582.7,4331.4,17373.9,1213.1,2825.8
1983-12-31,7330.7,9864.4,5203.1,7434.2,6629.3,48382.3,3075.8,826.7,27248.7,9032.0,68671.2,33899.8,5275.0,1778.8,4143.3,2889.4,28742.6,1000.1,617.1,689.0,442.9,1265.5,11140.4,14019.7,14621.9,5853.1,5431.6,5467.1,15116.0,1350.1,3092.2
1984-12-31,6795.4,8801.2,4445.9,6959.7,5927.5,45853.9,2958.6,754.8,26523.8,10363.5,63292.2,33242.9,4601.3,1731.9,3873.0,2822.2,28533.4,950.4,633.7,635.6,395.1,1102.2,10564.2,15781.9,14140.6,5636.2,5253.5,4998.6,15561.7,1257.4,2925.3
1985-12-31,6644.0,8366.8,4937.6,6562.6,6523.4,42238.5,2892.7,771.1,22632.2,9219.8,59100.5,31295.0,4449.9,1750.0,3882.1,2786.3,24619.6,926.5,532.4,627.5,429.3,1260.6,9561.1,14796.7,13871.4,4833.1,5213.7,5591.1,15191.7,1276.4,3009.4
1986-12-31,6550.3,9077.9,3967.3,6512.7,6594.1,44534.9,2998.4,786.2,21656.6,9205.6,62757.6,31881.5,3649.2,1650.3,3873.7,2786.0,24163.3,969.1,576.5,634.4,378.4,1005.1,10201.1,17510.7,14321.0,4343.5,4813.7,4902.0,17431.3,1259.5,2999.1
1987-12-31,5958.5,7868.0,4158.9,5900.3,5636.4,40573.6,3027.7,905.6,22088.6,10835.8,44826.6,30631.7,4033.9,1483.3,3621.0,2588.1,23948.5,996.2,507.6,710.7,386.5,1119.9,9472.6,18018.0,13427.8,4540.7,4580.6,4635.5,19205.8,1206.9,2740.6
1988-12-31,6159.5,8005.8,4291.4,6065.8,5759.9,40415.6,2676.7,787.8,22910.5,10079.5,50280.1,29607.8,4040.7,1576.2,3766.5,2487.7,24052.0,899.7,521.1,631.6,394.4,1093.6,9308.0,16913.8,12907.5,4726.5,4735.3,4824.3,14931.3,1233.3,2811.3
1989-12-31,7125.6,8812.0,4625.4,7316.7,6108.9,46196.3,2961.4,926.4,27316.1,11767.6,68260.2,33263.3,4888.2,1819.1,3948.1,2798.4,29001.9,1019.1,619.4,729.9,421.9,1188.1,10701.8,16942.7,14766.0,5644.0,5327.9,5254.3,17285.6,1289.8,2983.7
1990-12-31,6061.5,8227.6,4707.2,6365.3,6066.9,39631.8,2762.2,735.0,20559.1,8823.9,57176.4,29586.7,4302.6,1582.8,3515.9,2530.3,22520.3,894.1,507.1,621.9,398.6,1166.2,9449.6,16036.1,12364.8,4294.2,4698.2,5216.8,15144.4,1158.7,2801.1
1991-12-31,5991.7,8131.9,4321.6,6056.3,5798.2,40266.8,2717.0,755.1,21966.1,9708.9,52038.7,30312.3,4096.0,1481.9,3645.6,2508.9,23234.5,883.1,520.0,590.7,387.0,1133.1,9416.6,15997.2,12977.2,4840.4,4673.8,4621.7,15690.6,1171.3,2789.8
1992-12-31,6436.1,8381.1,4948.8,6608.2,6263.2,41542.7,2595.9,720.9,23594.4,8407.7,61757.1,29019.3,4871.4,1668.2,3882.4,2443.9,24845.2,910.9,551.2,609.8,452.4,1284.1,9366.2,13998.5,13392.0,5094.4,5150.6,5523.7,13237.9,1245.7,3013.2
1993-12-31,6855.9,9388.6,5154.0,6845.4,6919.6,44803.1,3042.7,810.0,24319.1,8631.2,67544.2,32347.3,4595.2,1794.9,4031.3,2601.6,25225.0,1018.8,562.4,692.4,471.3,1311.4,10503.7,14869.3,14639.8,5181.4,5372.6,5915.0,14439.1,1320.9,3168.0
1994-12-31,6982.5,9335.1,4843.8,7034.0,6300.7,47244.6,3227.1,799.8,24285.5,9851.5,60022.3,36287.9,4476.2,1673.0,4050.4,3036.6,27735.2,981.8,592.0,662.3,404.8,1190.0,10992.9,17983.0,14242.8,5084.4,5244.4,5114.9,16925.9,1295.7,3010.8
