time,AT,BE,BG,CZ,DE,DK,EE,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SK
1980-12-31,6332.9,8692.3,4280.4,6089.3,41737.4,2918.9,771.7,20811.6,9155.8,60784.1,1631.4,3746.0,2879.5,24525.2,912.7,540.4,624.2,9701.8,18040.6,13413.4,4335.1,4826.2,16038.5,2888.4
1981-12-31,6249.7,8254.2,4493.9,5918.3,41544.8,2772.1,710.8,23343.5,9310.2,55609.9,1647.8,3779.8,2628.9,24540.1,879.5,525.6,582.5,9546.9,15805.9,13096.0,5003.7,4783.2,14821.5,2853.2
1982-12-31,6109.6,8184.9,4097.9,5940.6,41326.2,2983.4,790.6,22341.4,10956.2,52006.1,1415.0,3678.6,2836.6,23564.5,898.5,525.9,604.9,9613.1,17231.5,13028.3,4654.6,4582.7,17373.9,2825.8
1983-12-31,7330.7,9864.4,5203.1,6629.3,48382.3,3075.8,826.7,27248.7,9032.0,68671.2,1778.8,4143.3,2889.4,28742.6,1000.1,617.1,689.0,11140.4,14019.7,14621.9,5853.1,5431.6,15116.0,3092.2
1984-12-31,6795.4,8801.2,4445.9,5927.5,45853.9,2958.6,754.8,26523.8,10363.5,63292.2,1731.9,3873.0,2822.2,28533.4,950.4,633.7,635.6,10564.2,15781.9,14140.6,5636.2,5253.5,15561.7,2925.3
1985-12-31,6644.0,8366.8,4937.6,6523.4,42238.5,2892.7,771.1,22632.2,9219.8,59100.5,1750.0,3882.1,2786.3,24619.6,926.5,532.4,627.5,9561.1,14796.7,13871.4,4833.1,5213.7,15191.7,3009.4
1986-12-31,6550.3,9077.9,3967.3,6594.1,44534.9,2998.4,786.2,21656.6,9205.6,62757.6,1650.3,3873.7,2786.0,24163.3,969.1,576.5,634.4,10201.1,17510.7,14321.0,4343.5,4813.7,17431.3,2999.1
1987-12-31,5958.5,7868.0,4158.9,5636.4,40573.6,3027.7,905.6,22088.6,10835.8,44826.6,1483.3,3621.0,2588.1,23948.5,996.2,507.6,710.7,9472.6,18018.0,13427.8,4540.7,4580.6,19205.8,2740.6
1988-12-31,6159.5,8005.8,4291.4,5759.9,40415.6,2676.7,787.8,22910.5,10079.5,50280.1,1576.2,3766.5,2487.7,24052.0,899.7,521.1,631.6,9308.0,16913.8,12907.5,4726.5,4735.3,14931.3,2811.3
1989-12-31,7125.6,8812.0,4625.4,6108.9,46196.3,2961.4,926.4,27316.1,11767.6,68260.2,1819.1,3948.1,2798.4,29001.9,1019.1,619.4,729.9,10701.8,16942.7,14766.0,5644.0,5327.9,17285.6,2983.7
1990-12-31,6061.5,8227.6,4707.2,6066.9,39631.8,2762.2,735.0,20559.1,8823.9,57176.4,1582.8,3515.9,2530.3,22520.3,894.1,507.1,621.9,9449.6,16036.1,12364.8,4294.2,4698.2,15144.4,2801.1
1991-12-31,5991.7,8131.9,4321.6,5798.2,40266.8,2717.0,755.1,21966.1,9708.9,52038.7,1481.9,3645.6,2508.9,23234.5,883.1,520.0,590.7,9416.6,15997.2,12977.2,4840.4,4673.8,15690.6,2789.8
1992-12-31,6436.1,8381.1,4948.8,6263.2,41542.7,2595.9,720.9,23594.4,8407.7,61757.1,1668.2,3882.4,2443.9,24845.2,910.9,551.2,609.8,9366.2,13998.5,13392.0,5094.4,5150.6,13237.9,3013.2
1993-12-31,6855.9,9388.6,5154.0,6919.6,44803.1,3042.7,810.0,24319.1,8631.2,67544.2,1794.9,4031.3,2601.6,25225.0,1018.8,562.4,692.4,10503.7,14869.3,14639.8,5181.4,5372.6,14439.1,3168.0
1994-12-31,6982.5,9335.1,4843.8,6300.7,47244.6,3227.1,799.8,24285.5,9851.5,60022.3,1673.0,4050.4,3036.6,27735.2,981.8,592.0,662.3,10992.9,17983.0,14242.8,5084.4,5244.4,16925.9,3010.8
1995-12-31,7066.2,9378.4,4111.4,6164.2,47409.3,3208.0,763.8,25444.0,9856.1,64702.8,1716.8,3928.6,3094.4,27581.3,974.5,638.2,653.2,11214.8,18682.7,14629.8,5340.1,5282.5,17055.9,2977.9
1996-12-31,5860.9,7934.0,4379.9,6200.1,40213.9,2883.3,851.0,19196.8,9113.6,48466.8,1543.8,3480.1,2449.5,21504.9,1006.5,495.5,733.2,9558.5,17352.1,13215.5,4020.8,4457.6,15485.5,2778.6
1997-12-31,6683.6,10151.1,4595.8,7115.9,46976.6,3156.4,809.8,23358.0,9430.3,74579.4,1731.3,4020.9,2946.4,24084.7,1025.7,602.6,675.4,10949.1,15840.5,15275.9,5038.0,5129.4,15679.6,3092.2
1998-12-31,6217.8,8124.3,4358.5,5979.0,40360.8,2706.0,783.6,22765.6,9614.2,51804.7,1463.7,3675.0,2618.6,23809.3,901.3,516.7,617.1,9412.4,14947.8,13031.7,4778.6,4704.2,14113.3,2832.5
1999-12-31,6367.6,8102.3,4687.2,6357.9,42714.3,2942.4,766.9,23468.2,8768.5,51963.1,1663.9,3995.0,2655.4,24027.8,940.9,537.5,637.0,9481.9,14942.6,13592.7,4993.8,5092.8,15360.1,3026.6
2000-12-31,7322.1,8967.3,5002.6,6751.0,47523.8,3119.3,881.4,26278.4,10467.0,57513.9,1814.4,4311.9,2956.0,28944.2,1039.9,586.8,717.5,10763.2,15381.3,14943.1,5657.4,5468.8,17418.1,3270.7
2001-12-31,6197.2,7767.9,4215.0,6380.3,39187.5,2766.4,690.8,20090.0,9122.2,49597.9,1595.2,3553.3,2445.9,22348.7,854.7,493.0,577.4,9107.2,15768.4,12493.1,4120.4,4486.1,16937.0,2844.7
2002-12-31,6581.2,8989.3,4915.0,6443.7,42392.1,2759.8,891.6,21287.4,11385.4,65959.7,1744.1,3859.1,2833.2,24745.5,968.1,551.8,695.6,9794.9,16492.7,13764.4,4311.9,5143.4,18003.7,3028.0
2003-12-31,6207.1,8042.3,4706.4,6620.5,42326.7,3125.7,918.2,20652.5,11137.8,46386.4,1605.3,3866.4,2482.3,23456.0,965.8,532.5,642.4,9622.2,17031.5,14502.6,4199.0,5133.8,17449.7,3036.9
2004-12-31,6285.1,8862.0,4357.2,6271.9,43128.4,3008.6,778.0,22249.5,10960.7,61695.2,1568.0,3734.1,2612.6,24116.2,916.5,546.5,623.0,9947.3,17710.2,13577.1,4453.3,4711.5,16930.4,2854.3
2005-12-31,6896.4,8737.1,4598.2,6189.3,46267.9,3120.4,822.1,25417.7,9331.3,53223.2,1724.8,4078.5,2879.0,28148.0,981.9,574.2,677.8,10611.4,14384.5,14189.7,5508.9,5206.7,15671.7,3003.0
2006-12-31,7097.5,9096.7,4487.4,6251.3,46861.8,3232.2,801.4,25589.7,9485.9,60403.7,1709.5,3904.1,2867.8,28616.9,994.7,627.9,677.4,11026.6,17269.7,14758.5,5280.0,5347.4,16370.5,2986.6
2007-12-31,5524.3,7392.4,4010.0,5350.9,36319.1,2474.0,648.2,20169.6,8451.4,44470.2,1361.8,3386.6,2586.5,21381.3,807.1,475.5,536.9,8704.3,14083.7,11420.0,4175.9,4279.1,13575.4,2706.1
2008-12-31,6362.4,8302.9,4600.8,6123.4,41766.0,2817.2,731.9,23443.3,9483.3,60219.2,1681.9,3859.2,2451.0,24262.9,912.8,529.5,613.1,9734.3,14402.1,13295.2,4947.0,4983.3,14971.9,2925.1
